umap_1;umap_2;label
9.855789;10.68004;Basophil
8.884729;10.25447;Basophil
-2.6402357;18.336985;Basophil
9.082062;9.480013;Basophil
8.96448;9.877175;Basophil
8.607369;9.802216;Basophil
8.818997;9.606244;Basophil
9.374439;10.224627;Basophil
9.276315;9.518166;Basophil
8.6469345;10.375666;Basophil
8.749746;10.355581;Basophil
8.780019;10.063987;Basophil
9.234115;9.108329;Basophil
9.899341;11.114602;Basophil
9.349342;9.970223;Basophil
9.172515;10.159019;Basophil
8.661712;9.584998;Basophil
8.456366;10.102212;Basophil
9.797219;10.657693;Basophil
9.088208;9.072531;Basophil
9.65949;9.766064;Basophil
9.880611;10.988554;Basophil
9.402445;9.983682;Basophil
8.784506;9.5568285;Basophil
8.990241;9.503838;Basophil
9.604635;10.285602;Basophil
8.628947;10.263411;Basophil
9.213452;9.916734;Basophil
-2.6260624;18.383793;Basophil
9.422833;9.557326;Basophil
9.488118;9.964653;Basophil
9.542003;9.843252;Basophil
9.564848;10.531842;Basophil
9.313835;9.70936;Basophil
8.293812;9.306977;Basophil
9.4876995;10.3225765;Basophil
9.934735;10.813049;Basophil
8.274092;9.721181;Basophil
8.468004;9.248588;Basophil
9.7168255;10.116736;Basophil
9.374623;9.663472;Basophil
9.823117;10.576574;Basophil
9.576953;9.693133;Basophil
8.706946;10.161528;Basophil
-2.6083598;18.334038;Basophil
-2.625993;18.314514;Basophil
8.528412;10.329564;Basophil
8.983001;10.185564;Basophil
9.253118;9.85368;Basophil
8.843019;9.295219;Basophil
8.76695;10.451212;Basophil
9.573718;10.9254465;Basophil
9.490694;10.275527;Basophil
8.535495;10.201201;Basophil
8.674838;10.232164;Basophil
8.794677;10.095087;Basophil
8.872594;9.887694;Basophil
8.941521;9.722268;Basophil
9.046609;10.500678;Basophil
8.800405;10.242819;Basophil
9.8359785;11.028156;Basophil
9.557879;10.355771;Basophil
9.0390835;9.633108;Basophil
9.600619;9.75369;Basophil
8.870584;9.51163;Basophil
9.931839;11.185764;Basophil
8.628446;10.257336;Basophil
9.17177;10.0729475;Basophil
9.523265;10.606405;Basophil
9.572565;10.347105;Basophil
9.147412;9.117642;Basophil
9.323811;9.884364;Basophil
9.27788;10.104053;Basophil
8.156698;9.600484;Basophil
9.22035;10.249046;Basophil
8.811202;10.1897;Basophil
-2.692353;18.638092;Basophil
8.717109;10.350376;Basophil
-2.5476198;18.497105;Basophil
9.863563;10.692043;Basophil
9.5654745;10.311817;Basophil
9.388214;9.822448;Basophil
9.866363;10.739978;Basophil
9.261055;9.7081785;Basophil
8.521175;10.292984;Basophil
9.752849;11.0523615;Basophil
8.468158;10.225869;Basophil
8.54683;9.533771;Basophil
9.041937;10.384671;Basophil
8.876628;9.680956;Basophil
-2.6415749;18.34093;Basophil
8.512116;10.238807;Basophil
9.024892;8.971012;Basophil
9.197254;10.517083;Basophil
-2.6263673;18.326212;Basophil
8.685012;9.971307;Basophil
9.813904;10.151279;Basophil
-2.5830362;18.423927;Basophil
8.957581;9.858914;Basophil
9.623346;9.682429;Basophil
9.66149;11.003196;Basophil
8.741418;9.981507;Basophil
2.66091;12.125603;Basophil
9.91791;11.208955;Basophil
8.686304;9.943413;Basophil
-2.646777;18.544086;Basophil
8.685224;10.118647;Basophil
9.604347;9.777428;Basophil
