              precision    recall  f1-score      support
0              0.995798  0.979339  0.987500   242.000000
1              1.000000  0.996785  0.998390   622.000000
2              0.993548  0.993548  0.993548   310.000000
3              0.975779  0.975779  0.975779   578.000000
4              0.983673  0.991770  0.987705   243.000000
5              0.985915  0.985915  0.985915   284.000000
6              0.980597  0.986486  0.983533   666.000000
7              1.000000  1.000000  1.000000   470.000000
accuracy       0.988873  0.988873  0.988873     0.988873
macro avg      0.989414  0.988703  0.989046  3415.000000
weighted avg   0.988900  0.988873  0.988878  3415.000000
