              precision    recall  f1-score      support
0              0.975510  0.987603  0.981520   242.000000
1              1.000000  0.998392  0.999195   622.000000
2              0.996764  0.993548  0.995153   310.000000
3              0.973913  0.968858  0.971379   578.000000
4              0.987705  0.991770  0.989733   243.000000
5              0.982517  0.989437  0.985965   284.000000
6              0.983459  0.981982  0.982720   666.000000
7              1.000000  1.000000  1.000000   470.000000
accuracy       0.987994  0.987994  0.987994     0.987994
macro avg      0.987484  0.988949  0.988208  3415.000000
weighted avg   0.988001  0.987994  0.987992  3415.000000
